                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.84566,                 1.8712,                0.53926,                0.94244,                0.81758,                0.76119,                0.81786,                 0.5828,                  0.783,                0.73632,                0.76317,                0.41547,                  1.019,                 2.7342,                0.76117,                 1.0377,              0.0004754,              0.0004754,              0.0004754
                     79,                0.85854,                 1.8171,                0.54457,                  0.939,                0.81409,                 0.7625,                0.81361,                0.56976,                0.79755,                0.74129,                0.74974,                0.41289,                 1.0365,                 2.7094,                0.75586,                  1.049,              0.0004556,              0.0004556,              0.0004556
                     80,                0.83801,                 1.8563,                0.54182,                0.93027,                0.81251,                0.76617,                0.80699,                0.56096,                 0.7995,                0.74627,                0.75126,                0.39507,                 1.0747,                 2.8401,                0.79495,                 1.0641,              0.0004358,              0.0004358,              0.0004358
                     81,                0.83497,                 1.8594,                0.53126,                0.92686,                0.75195,                0.81444,                0.80912,                0.56819,                0.73086,                0.78109,                0.73918,                0.40268,                 1.0831,                 2.6904,                0.77751,                 1.0691,               0.000416,               0.000416,               0.000416
                     82,                0.83124,                 1.8149,                0.53636,                 0.9337,                0.82295,                0.76312,                0.81668,                0.58338,                0.78868,                0.73134,                 0.7584,                0.41457,                 1.0687,                  2.735,                0.76594,                 1.0662,              0.0003962,              0.0003962,              0.0003962
                     83,                 0.8362,                 1.8733,                0.52659,                0.92474,                0.80759,                0.75173,                0.82546,                0.58245,                0.78621,                0.73183,                0.77463,                0.41895,                 1.0678,                 2.7673,                 0.7738,                 1.0572,              0.0003764,              0.0003764,              0.0003764
                     84,                0.81537,                 1.7865,                0.51671,                0.92789,                0.83869,                0.78607,                0.81396,                0.58297,                 0.8029,                0.75124,                0.76255,                0.41724,                 1.0705,                 2.7241,                0.74397,                 1.0747,              0.0003566,              0.0003566,              0.0003566
                     85,                0.83997,                 1.8005,                0.52557,                0.92333,                0.80758,                0.81592,                0.83114,                0.59418,                0.83596,                0.73632,                0.78109,                0.42514,                 1.0564,                  2.764,                0.70717,                 1.0696,              0.0003368,              0.0003368,              0.0003368
                     86,                0.80538,                 1.8039,                0.50325,                0.92828,                0.84379,                0.77936,                0.81411,                0.59093,                0.81695,                0.75495,                0.77646,                0.41808,                 1.0466,                 2.7355,                0.74187,                 1.0632,               0.000317,               0.000317,               0.000317
                     87,                0.82588,                 1.7593,                0.52349,                0.92931,                0.80423,                0.78607,                0.81657,                0.58311,                0.79358,                0.75622,                0.78028,                0.40325,                 1.0791,                 2.7366,                0.74492,                 1.0769,              0.0002972,              0.0002972,              0.0002972
                     88,                0.80321,                 1.7863,                0.50272,                0.91867,                0.81457,                0.78678,                0.81048,                0.57206,                0.78881,                 0.7619,                0.76374,                0.40234,                 1.0999,                 2.7569,                0.74185,                 1.0924,              0.0002774,              0.0002774,              0.0002774
                     89,                0.78874,                 1.7684,                0.48726,                0.91727,                0.85319,                0.74627,                 0.8169,                0.57683,                0.80231,                 0.7269,                0.76067,                0.41291,                 1.0714,                 2.8327,                0.75463,                 1.0879,              0.0002576,              0.0002576,              0.0002576
                     90,                0.81825,                 1.8395,                0.50578,                0.92447,                0.82926,                0.77114,                0.82311,                 0.5883,                 0.8067,                0.74627,                0.76932,                0.43029,                 1.0649,                 2.7791,                0.74753,                 1.0759,              0.0002378,              0.0002378,              0.0002378
                     91,                0.81054,                 1.8053,                0.51653,                0.93004,                0.83827,                0.77359,                0.82865,                0.58432,                0.80569,                0.74266,                0.76928,                0.42567,                 1.1238,                 2.8606,                0.73848,                 1.1109,               0.000218,               0.000218,               0.000218
                     92,                0.79196,                  1.741,                0.49274,                0.92889,                0.83226,                0.76522,                0.82879,                 0.5894,                0.79983,                0.73553,                0.77005,                 0.4242,                 1.0813,                 2.8129,                0.72394,                 1.0914,              0.0001982,              0.0001982,              0.0001982
                     93,                0.77918,                 1.7815,                0.49735,                0.92134,                0.82853,                0.78607,                0.83689,                0.58775,                0.80208,                0.76119,                0.78679,                0.42231,                 1.0951,                 2.7682,                0.72736,                 1.0812,              0.0001784,              0.0001784,              0.0001784
                     94,                0.77496,                 1.7447,                0.48176,                0.92162,                 0.8316,                0.77612,                0.83417,                0.58907,                0.81027,                0.75622,                0.77368,                0.41823,                 1.0849,                 2.7623,                0.72972,                 1.0824,              0.0001586,              0.0001586,              0.0001586
                     95,                0.79356,                 1.7522,                0.48659,                0.92883,                0.84236,                0.79602,                0.82939,                0.57984,                0.80446,                0.76119,                0.75831,                0.40695,                 1.1085,                 2.8493,                0.72854,                 1.0902,              0.0001388,              0.0001388,              0.0001388
                     96,                0.77332,                 1.7457,                0.47817,                0.92033,                0.84858,                0.78065,                0.82781,                0.59541,                 0.8153,                0.74667,                0.77354,                0.41111,                  1.068,                 2.8312,                0.71961,                 1.0796,               0.000119,               0.000119,               0.000119
                     97,                0.78549,                 1.7877,                 0.4827,                0.92411,                0.84678,                0.77612,                0.83208,                0.59138,                0.81399,                0.74627,                0.77812,                0.41851,                  1.068,                 2.8289,                0.73175,                 1.0749,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.77584,                 1.7527,                0.47692,                0.91566,                0.82419,                0.79299,                0.83577,                0.59947,                0.79339,                0.76418,                0.78682,                0.42003,                  1.061,                 2.8322,                 0.7191,                 1.0759,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.77566,                 1.7492,                 0.4721,                0.91688,                0.82053,                0.78607,                0.83642,                0.59509,                0.78418,                0.75124,                0.78022,                0.41825,                 1.0746,                 2.8432,                0.71357,                 1.0762,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.77394,                 1.7801,                0.48389,                0.92266,                0.84588,                0.76617,                0.84008,                0.59963,                0.76856,                0.76119,                0.77888,                0.41427,                 1.0749,                 2.8476,                0.71581,                 1.0758,               3.98e-05,               3.98e-05,               3.98e-05
